video_file,frame_name,cvat_frame_name,annotator,status,date_completed,bolls_visible,boll_id_tags,notes,sam2_hint_n_bolls,sam2_hint_ids
handheld_1,00288,handheld_1__00288.jpg,,not_started,,,,,12,"11,13,2,25,3,32,33,36,37,38,4,7"
handheld_2,00014,handheld_2__00014.jpg,,not_started,,,,,10,"10,11,17,21,26,27,35,37,8,9"
handheld_2,00021,handheld_2__00021.jpg,,not_started,,,,,14,"10,11,13,17,20,21,24,26,27,29,35,37,8,9"
handheld_2,00052,handheld_2__00052.jpg,,not_started,,,,,14,"10,11,17,2,21,24,26,27,29,32,35,37,8,9"
handheld_2,00061,handheld_2__00061.jpg,,not_started,,,,,16,"10,11,13,17,2,20,24,26,27,29,31,32,35,37,8,9"
handheld_2,00074,handheld_2__00074.jpg,,not_started,,,,,16,"10,11,13,17,2,20,21,24,26,27,29,31,32,35,8,9"
handheld_2,00080,handheld_2__00080.jpg,,not_started,,,,,16,"10,11,13,17,2,20,21,24,26,27,29,31,32,35,8,9"
handheld_2,00086,handheld_2__00086.jpg,,not_started,,,,,16,"10,11,13,17,2,20,21,24,26,27,29,31,32,35,8,9"
handheld_2,00095,handheld_2__00095.jpg,,not_started,,,,,17,"10,11,13,17,2,20,21,24,26,27,29,31,32,35,37,8,9"
handheld_2,00102,handheld_2__00102.jpg,,not_started,,,,,12,"10,11,13,17,2,26,27,29,31,32,37,9"
handheld_2,00121,handheld_2__00121.jpg,,not_started,,,,,10,"10,11,17,2,24,26,29,31,32,35"
handheld_2,00128,handheld_2__00128.jpg,,not_started,,,,,12,"10,11,17,2,24,26,29,31,32,35,37,8"
handheld_2,00138,handheld_2__00138.jpg,,not_started,,,,,12,"10,13,17,20,24,26,27,29,31,32,8,9"
handheld_2,00146,handheld_2__00146.jpg,,not_started,,,,,12,"10,11,13,21,24,26,27,31,32,37,8,9"
handheld_2,00152,handheld_2__00152.jpg,,not_started,,,,,11,"10,11,13,20,24,26,27,31,35,8,9"
handheld_2,00158,handheld_2__00158.jpg,,not_started,,,,,12,"10,11,13,20,24,26,27,29,31,35,8,9"
handheld_2,00178,handheld_2__00178.jpg,,not_started,,,,,10,"10,11,13,17,21,26,29,32,35,8"
handheld_2,00190,handheld_2__00190.jpg,,not_started,,,,,13,"10,13,17,20,21,24,27,29,31,32,35,8,9"
handheld_2,00215,handheld_2__00215.jpg,,not_started,,,,,12,"10,11,13,17,2,20,27,29,31,32,37,9"
handheld_2,00227,handheld_2__00227.jpg,,not_started,,,,,10,"10,13,17,2,27,31,32,35,8,9"
handheld_2,00257,handheld_2__00257.jpg,,not_started,,,,,15,"10,13,17,20,21,24,26,27,29,31,32,35,37,8,9"
handheld_2,00274,handheld_2__00274.jpg,,not_started,,,,,13,"10,11,17,2,21,24,26,27,29,32,37,8,9"
handheld_2,00288,handheld_2__00288.jpg,,not_started,,,,,16,"10,11,13,17,20,21,24,26,27,29,31,32,35,37,8,9"
handheld_2,00303,handheld_2__00303.jpg,,not_started,,,,,14,"10,11,13,17,2,20,21,27,29,31,32,35,8,9"
handheld_2,00332,handheld_2__00332.jpg,,not_started,,,,,11,"10,17,21,24,27,31,32,35,37,8,9"
handheld_2,00347,handheld_2__00347.jpg,,not_started,,,,,12,"10,11,13,2,20,21,24,27,29,31,8,9"
handheld_2,00368,handheld_2__00368.jpg,,not_started,,,,,11,"10,11,13,17,2,21,24,27,31,32,8"
handheld_2,00383,handheld_2__00383.jpg,,not_started,,,,,10,"10,13,24,26,27,29,31,32,35,8"
handheld_2,00415,handheld_2__00415.jpg,,not_started,,,,,10,"13,17,20,24,27,32,35,37,8,9"
